Atlantic Coast, Year, Round, Rankability, EloCorr
,1995,,,
,,1,0.1250,0.0000
,,2,0.2500,0.6556
,,3,0.3750,0.8071
,,4,0.3750,0.9121
,,5,0.5000,0.9667
,,6,0.5083,0.9667
,,7,0.6210,0.9167
,,8,0.6250,0.9500
,,9,0.6328,0.9333
,,10,0.7500,0.9667
,,11,0.8548,0.9833
,,12,0.8750,1.0000
,,13,0.8750,0.9833
,1996,,,
,,1,0.1250,0.0000
,,2,0.1250,0.5774
,,3,0.2500,0.8692
,,4,0.2500,0.7124
,,5,0.3750,0.7967
,,6,0.5000,0.8667
,,7,0.5000,0.9667
,,8,0.5000,0.9500
,,9,0.6250,0.9333
,,10,0.7500,0.9500
,,11,0.8750,0.9500
,,12,0.8750,0.9500
,,13,0.8750,1.0000
,1997,,,
,,1,0.1250,0.0000
,,2,0.1250,0.1437
,,3,0.2500,0.7376
,,4,0.2500,0.8452
,,5,0.2500,0.7167
,,6,0.3750,1.0000
,,7,0.5000,0.8833
,,8,0.6250,0.9667
,,9,0.7500,0.9667
,,10,0.8750,0.9833
,,11,0.8750,0.9667
,,12,0.8750,1.0000
,1998,,,
,,1,0.1250,0.0000
,,2,0.2500,0.5252
,,3,0.3750,0.8205
,,4,0.3750,0.9748
,,5,0.3750,0.9000
,,6,0.5000,0.9667
,,7,0.5348,0.9000
,,8,0.6598,0.9833
,,9,0.7261,0.9667
,,10,0.8552,0.9833
,,11,0.8750,0.9833
,,12,0.8750,0.9833
,1999,,,
,,1,0.1250,0.0000
,,2,0.1250,0.1437
,,3,0.2500,0.6260
,,4,0.3750,0.6920
,,5,0.5000,0.8787
,,6,0.5000,0.7333
,,7,0.6250,0.9500
,,8,0.7500,0.9333
,,9,0.8750,0.9333
,,10,0.8712,0.9000
,,11,0.8450,0.9667
,,12,0.7791,0.8667
,2000,,,
,,1,0.1250,0.0000
,,2,0.2500,0.6923
,,3,0.2500,0.8026
,,4,0.3750,0.7815
,,5,0.5000,0.9500
,,6,0.6250,1.0000
,,7,0.7500,0.9333
,,8,0.7500,0.9333
,,9,0.8750,0.9667
,,10,0.8720,0.9833
,,11,0.8707,0.9667
,,12,0.8750,1.0000
,2001,,,
,,1,0.1250,0.0000
,,2,0.2500,0.2929
,,3,0.2500,0.7563
,,4,0.3750,0.9833
,,5,0.5000,0.9000
,,6,0.6250,0.9500
,,7,0.6119,0.9500
,,8,0.6254,0.9167
,,9,0.7538,0.8500
,,10,0.8430,0.9333
,,11,0.8313,0.9833
,2002,,,
,,1,0.1250,0.0000
,,2,0.2500,0.6556
,,3,0.3750,0.9956
,,4,0.3750,0.6240
,,5,0.5000,0.5858
,,6,0.5000,0.9500
,,7,0.5000,0.9500
,,8,0.5000,0.9333
,,9,0.6250,0.9167
,,10,0.7500,0.9167
,,11,0.8491,0.9667
,,12,0.8315,0.9833
,,13,0.8346,1.0000
,2003,,,
,,1,0.1250,0.0000
,,2,0.2500,0.8278
,,3,0.3750,0.9956
,,4,0.3750,0.8261
,,5,0.5000,0.8506
,,6,0.5000,0.7950
,,7,0.5000,0.9500
,,8,0.6250,0.8833
,,9,0.7500,0.7333
,,10,0.7500,0.8167
,,11,0.7471,0.8000
,,12,0.8581,0.9167
,,13,0.8376,0.9500
,,14,0.8438,1.0000
Big East, Year, Round, Rankability, EloCorr
,1995,,,
,,1,0.1429,0.0000
,,2,0.1429,0.5569
,,3,0.2857,0.8101
,,4,0.2857,0.7243
,,5,0.2857,0.6667
,,6,0.4286,0.9286
,,7,0.5441,0.9048
,,8,0.7048,0.9762
,,9,0.8380,0.9286
,,10,0.8133,1.0000
,,11,0.8571,0.9762
,1996,,,
,,1,0.1429,0.0000
,,2,0.1429,0.5774
,,3,0.2857,0.9623
