Atlantic Coast,Year,Round,Rank,Forw-Pred
,1995,,,
,,1,0.3750,0.4286
,,2,0.5083,0.7500
,,3,0.5000,1.0000
,,4,0.6250,0.6000
,,5,0.7500,0.5000
,,6,0.7500,1.0000
,,7,0.8750,1.0000
,,8,0.8750,1.0000
,1996,,,
,,1,0.2500,0.2000
,,2,0.5000,0.6000
,,3,0.5000,1.0000
,,4,0.6250,0.6000
,,5,0.7500,1.0000
,,6,0.8750,0.6667
,,7,0.8750,0.2500
,,8,0.8750,1.0000
,1997,,,
,,1,0.2500,0.3333
,,2,0.2500,0.0000
,,3,0.3750,1.0000
,,4,0.5000,0.5000
,,5,0.6250,0.7500
,,6,0.8750,0.7143
,,7,0.8750,1.0000
,,8,0.8750,0.6667
,1998,,,
,,1,0.3750,0.4286
,,2,0.3750,0.6667
,,3,0.5029,0.4286
,,4,0.6250,1.0000
,,5,0.7312,0.8000
,,6,0.8552,0.8000
,,7,0.8750,1.0000
,,8,0.8750,0.0000
,1999,,,
,,1,0.5000,0.4000
,,2,0.5000,0.3333
,,3,0.6250,0.2500
,,4,0.7500,0.5000
,,5,0.8750,0.7500
,,6,0.8712,0.5000
,,7,0.8450,0.2500
,,8,0.7791,0.3333
,2000,,,
,,1,0.3750,0.3750
,,2,0.5000,0.8000
,,3,0.6250,1.0000
,,4,0.7500,1.0000
,,5,0.8750,0.6000
,,6,0.8720,0.4000
,,7,0.8707,0.6667
,,8,0.8750,1.0000
,2001,,,
,,1,0.2500,0.2500
,,2,0.3750,0.7500
,,3,0.5000,0.5000
,,4,0.6250,0.5000
,,5,0.6049,0.2500
,,6,0.7487,0.5000
,,7,0.8430,0.5000
,,8,0.8313,1.0000
,2002,,,
,,1,0.3750,0.3333
,,2,0.5000,0.6250
,,3,0.5000,0.6667
,,4,0.6250,0.8000
,,5,0.7500,0.6667
,,6,0.8491,1.0000
,,7,0.8315,0.0000
,,8,0.8346,1.0000
,2003,,,
,,1,0.3750,0.5000
,,2,0.5000,0.2000
,,3,0.5000,0.5000
,,4,0.6250,0.6000
,,5,0.7500,1.0000
,,6,0.7437,0.1667
,,7,0.8577,0.6000
,,8,0.8438,0.5000
Big East,Year,Round,Rank,Forw-Pred
,1995,,,
,,1,0.2857,0.0000
,,2,0.2857,0.4000
,,3,0.4286,0.6667
,,4,0.7082,0.8000
,,5,0.6678,0.6667
,,6,0.8133,0.7500
,,7,0.8571,0.6667
,1996,,,
,,1,0.2857,0.2857
,,2,0.4286,1.0000
,,3,0.4286,0.6667
,,4,0.5714,0.6000
,,5,0.7143,0.7500
,,6,0.8571,1.0000
,,7,0.8571,0.6667
,1997,,,
,,1,0.2857,0.2000
,,2,0.4286,0.6667
,,3,0.5714,0.4000
,,4,0.5554,0.0000
,,5,0.7111,1.0000
,,6,0.6976,0.5000
,,7,0.8149,0.5000
,1998,,,
,,1,0.4286,0.6250
,,2,0.4013,0.0000
,,3,0.5798,0.7500
,,4,0.5812,0.5000
,,5,0.6153,0.7500
,,6,0.7533,1.0000
,,7,0.8169,0.5000
,1999,,,
,,1,0.2857,0.2000
,,2,0.4449,0.2500
,,3,0.4506,1.0000
,,4,0.7143,0.6000
,,5,0.7143,1.0000
,,6,0.8571,1.0000
,,7,0.8571,0.5000
,2000,,,
,,1,0.2857,0.3750
,,2,0.5714,0.6667
,,3,0.7143,0.7500
,,4,0.8571,0.6000
,,5,0.8510,1.0000
,,6,0.8463,1.0000
,,7,0.8571,0.6667
,2001,,,
,,1,0.2857,0.6667
,,2,0.2857,1.0000
,,3,0.4286,0.7500
,,4,0.5714,0.4000
,,5,0.7143,1.0000
,,6,0.8571,0.5000
,,7,0.8571,1.0000
,2002,,,
,,1,0.2857,0.5714
,,2,0.2857,1.0000
,,3,0.4286,0.5000
,,4,0.7143,0.6667
,,5,0.7143,0.5000
,,6,0.8571,0.6667
,,7,0.8571,0.5000
,2003,,,
,,1,0.4286,0.5000
,,2,0.4286,0.0000
,,3,0.4286,0.5000
,,4,0.5714,0.5000
,,5,0.6232,0.5000
,,6,0.7525,0.7500
,,7,0.8571,0.3333
,2004,,,
,,1,0.1667,0.0000
,,2,0.3333,0.0000
,,3,0.5000,0.8000
,,4,0.6937,0.2500
,,5,0.7132,1.0000
,,6,0.6615,0.3333
,2005,,,
,,1,0.1429,0.2000
,,2,0.4286,0.4000
,,3,0.5714,0.5714
,,4,0.7143,0.7500
,,5,0.7143,1.0000
,,6,0.8571,0.6667
,,7,0.8375,1.0000
,2006,,,
,,1,0.2857,0.5000
,,2,0.2857,0.6667
,,3,0.4286,0.5000
,,4,0.5714,0.2000
,,5,0.6033,0.5000
,,6,0.7202,0.7500
,,7,0.8049,0.5000
,2007,,,
,,1,0.1429,0.0000
,,2,0.3190,0.1667
,,3,0.4286,0.3333
,,4,0.5714,0.5000
,,5,0.7071,0.4000
,,6,0.6819,0.5000
,,7,0.6841,0.0000
,2008,,,
,,1,0.2857,0.4000
,,2,0.2857,0.4000
,,3,0.4286,0.5000
,,4,0.4599,0.6667
,,5,0.6870,1.0000
,,6,0.6682,0.0000
,,7,0.8049,1.0000
,2009,,,
,,1,0.2857,0.4000
,,2,0.4286,0.5000
,,3,0.5714,0.6000
,,4,0.7143,0.7500
,,5,0.8571,0.5000
,,6,0.8571,0.3333
,,7,0.8571,0.6667
,2010,,,
,,1,0.1429,0.2000
,,2,0.2857,0.0000
,,3,0.4286,0.5000
,,4,0.5388,0.2000
,,5,0.5661,0.0000
,,6,0.5796,0.6667
,,7,0.7082,1.0000
,2011,,,
,,1,0.2857,0.0000
,,2,0.2857,0.2500
,,3,0.4286,0.1667
,,4,0.4567,0.3333
,,5,0.5530,0.3333
,,6,0.6676,0.5000
,,7,0.7143,1.0000
,2012,,,
,,1,0.4286,0.7500
,,2,0.5714,0.7500
,,3,0.5714,0.3333
,,4,0.5714,0.5000
,,5,0.7143,0.5000
,,6,0.6931,0.5000
,,7,0.7143,0.6667
Mountain West,Year,Round,Rank,Forw-Pred
,1999,,,
,,1,0.1429,0.1667
,,2,0.2857,0.3333
,,3,0.5714,0.5000
,,4,0.7143,0.3333
,,5,0.6839,0.0000
,,6,0.7143,0.5000
,,7,0.7078,0.3333
,2000,,,
,,1,0.2731,0.2857
,,2,0.4013,0.6667
,,3,0.4286,0.5000
,,4,0.5714,1.0000
,,5,0.7143,0.3333
,,6,0.8396,0.3333
,,7,0.8371,0.0000
,2001,,,
,,1,0.1429,0.0000
,,2,0.4286,0.4286
,,3,0.5714,0.5000
,,4,0.7143,0.8000
,,5,0.8571,1.0000
,,6,0.8571,0.3333
,,7,0.8571,0.5000
,2002,,,
,,1,0.4286,0.5000
,,2,0.4286,0.6667
,,3,0.4286,0.7500
,,4,0.5714,0.2000
,,5,0.7143,0.7500
,,6,0.8571,0.5000
,,7,0.8200,0.2500
,2003,,,
,,1,0.4286,0.1429
,,2,0.4286,0.6000
,,3,0.4566,0.0000
,,4,0.5766,0.0000
,,5,0.7236,0.2000
,,6,0.7394,1.0000
,,7,0.7489,0.3333
,2004,,,
,,1,0.2857,0.2857
,,2,0.2857,0.0000
,,3,0.4286,0.4000
,,4,0.5714,0.3333
,,5,0.7143,1.0000
,,6,0.8571,0.5000
,,7,0.8377,0.5000
,2005,,,
,,1,0.2500,0.2857
,,2,0.3750,0.7500
,,3,0.5000,0.2000
,,4,0.6250,0.5000
