Year, Round, Rank, EloSens 
2013,,,
,1,0.3333,0.0000
,2,0.6667,0.0000
,3,0.8679,1.0000
,4,0.7500,0.5000
,5,0.7500,1.0000
,6,0.7917,1.0000
2014,,,
,1,0.2000,0.6667
,2,0.4000,0.3333
,3,0.6000,0.3333
,4,0.7500,0.6667
,5,0.7463,0.3333
,6,0.7463,0.6667
,7,0.7750,0.6667
,8,0.7816,1.0000
,9,0.7500,1.0000
,10,0.7500,0.6667
2015,,,
,1,0.1111,0.0000
,2,0.2222,0.2000
,3,0.2873,0.2000
,4,0.3686,0.8000
,5,0.4093,0.0000
,6,0.4578,0.4000
,7,0.5761,0.4000
,8,0.6208,0.8000
,9,0.6711,0.6000
2016,,,
,1,0.1111,0.6000
,2,0.1944,0.0000
,3,0.2611,0.2000
,4,0.3325,0.4000
,5,0.4220,0.4000
,6,0.4846,0.2000
,7,0.5152,1.0000
,8,0.5625,0.2000
,9,0.6067,0.4000
2017,,,
,1,0.1111,0.4000
,2,0.1944,0.0000
,3,0.2639,0.6000
,4,0.3666,0.2000
,5,0.4328,0.2000
,6,0.4889,0.8000
,7,0.5395,0.6000
,8,0.5719,0.6000
,9,0.6593,0.2000
2018,,,
,1,0.1111,0.6000
,2,0.1944,0.2000
,3,0.2662,0.2000
,4,0.3319,0.6000
,5,0.3876,0.2000
,6,0.4882,0.6000
,7,0.5391,0.4000
,8,0.5857,0.8000
,9,0.6389,0.6000
