12,11,
1,1/2 - 1/2,12
2,1/2 - 1/2,11
3,1/2 - 1/2,10
4,0 - 1,9
5,1/2 - 1/2,8
6,1/2 - 1/2,7
6,1/2 - 1/2,1
7,1/2 - 1/2,5
8,1/2 - 1/2,4
9,1/2 - 1/2,3
10,1/2 - 1/2,2
11,1/2 - 1/2,12
1,1/2 - 1/2,11
12,1/2 - 1/2,10
2,1/2 - 1/2,9
3,1/2 - 1/2,8
4,1/2 - 1/2,7
5,1/2 - 1/2,6
5,1/2 - 1/2,1
6,1/2 - 1/2,4
7,1/2 - 1/2,3
8,1 - 0,2
9,1/2 - 1/2,12
10,1/2 - 1/2,11
1,1 - 0,10
11,1/2 - 1/2,9
12,1/2 - 1/2,8
2,1/2 - 1/2,7
3,1/2 - 1/2,6
4,1 - 0,5
4,1/2 - 1/2,1
5,1/2 - 1/2,3
6,1/2 - 1/2,2
7,1/2 - 1/2,12
8,1/2 - 1/2,11
9,1/2 - 1/2,10
1,1/2 - 1/2,9
10,1/2 - 1/2,8
11,1/2 - 1/2,7
12,1/2 - 1/2,6
2,1/2 - 1/2,5
3,1/2 - 1/2,4
3,1/2 - 1/2,1
4,1 - 0,2
5,1/2 - 1/2,12
6,1 - 0,11
7,1/2 - 1/2,10
8,1/2 - 1/2,9
1,1 - 0,8
9,1/2 - 1/2,7
10,1/2 - 1/2,6
11,1/2 - 1/2,5
12,0 - 1,4
2,1/2 - 1/2,3
2,1/2 - 1/2,1
3,1 - 0,12
4,0 - 1,11
5,1/2 - 1/2,10
6,1/2 - 1/2,9
7,1/2 - 1/2,8
1,1/2 - 1/2,7
8,1/2 - 1/2,6
9,1/2 - 1/2,5
10,1 - 0,4
11,0 - 1,3
12,1/2 - 1/2,2
